month,bunker_type,bunker_sales
1995-10,Low-Sulfur Fuel Oil 380 cst,0
1995-10,Low-Sulfur Fuel Oil 500 cst,0
1995-10,Ultra Low-Sulfur Fuel Oil,0
1995-10,Others,106.6
1995-11,Marine Gas Oil,101.8
1995-11,Marine Diesel Oil,53.7
1995-11,Marine Fuel Oil 180 cst,356.1
1995-11,Marine Fuel Oil 380 cst,712.3
1995-11,Marine Fuel Oil 500 cst +,0
1995-11,Low-Sulfur Marine Gas Oil,0
1995-11,Low-Sulfur Fuel Oil 100 cst,0
1995-11,Low-Sulfur Fuel Oil 180 cst,0
1995-11,Low-Sulfur Fuel Oil 380 cst,0
1995-11,Low-Sulfur Fuel Oil 500 cst,0
1995-11,Ultra Low-Sulfur Fuel Oil,0
1995-11,Others,100.6
1995-12,Marine Gas Oil,100
1995-12,Marine Diesel Oil,56
1995-12,Marine Fuel Oil 180 cst,384
1995-12,Marine Fuel Oil 380 cst,765
1995-12,Marine Fuel Oil 500 cst +,0
1995-12,Low-Sulfur Marine Gas Oil,0
1995-12,Low-Sulfur Fuel Oil 100 cst,0
1995-12,Low-Sulfur Fuel Oil 180 cst,0
1995-12,Low-Sulfur Fuel Oil 380 cst,0
1995-12,Low-Sulfur Fuel Oil 500 cst,0
1995-12,Ultra Low-Sulfur Fuel Oil,0
1995-12,Others,95
1996-01,Marine Gas Oil,98.357
1996-01,Marine Diesel Oil,56.038
1996-01,Marine Fuel Oil 180 cst,380.78
1996-01,Marine Fuel Oil 380 cst,793.818
1996-01,Marine Fuel Oil 500 cst +,0
1996-01,Low-Sulfur Marine Gas Oil,0
1996-01,Low-Sulfur Fuel Oil 100 cst,0
1996-01,Low-Sulfur Fuel Oil 180 cst,0
1996-01,Low-Sulfur Fuel Oil 380 cst,0
1996-01,Low-Sulfur Fuel Oil 500 cst,0
1996-01,Ultra Low-Sulfur Fuel Oil,0
1996-01,Others,105.551
1996-02,Marine Gas Oil,94.869
1996-02,Marine Diesel Oil,45.371
1996-02,Marine Fuel Oil 180 cst,346.5
1996-02,Marine Fuel Oil 380 cst,848.121
1996-02,Marine Fuel Oil 500 cst +,0
1996-02,Low-Sulfur Marine Gas Oil,0
1996-02,Low-Sulfur Fuel Oil 100 cst,0
1996-02,Low-Sulfur Fuel Oil 180 cst,0
1996-02,Low-Sulfur Fuel Oil 380 cst,0
1996-02,Low-Sulfur Fuel Oil 500 cst,0
1996-02,Ultra Low-Sulfur Fuel Oil,0
1996-02,Others,90.899
1996-03,Marine Gas Oil,101.525
1996-03,Marine Diesel Oil,50.7
1996-03,Marine Fuel Oil 180 cst,380.638
1996-03,Marine Fuel Oil 380 cst,872.742
1996-03,Marine Fuel Oil 500 cst +,0
1996-03,Low-Sulfur Marine Gas Oil,0
1996-03,Low-Sulfur Fuel Oil 100 cst,0
1996-03,Low-Sulfur Fuel Oil 180 cst,0
1996-03,Low-Sulfur Fuel Oil 380 cst,0
1996-03,Low-Sulfur Fuel Oil 500 cst,0
1996-03,Ultra Low-Sulfur Fuel Oil,0
1996-03,Others,100.886
1996-04,Marine Gas Oil,92.379
1996-04,Marine Diesel Oil,47.006
1996-04,Marine Fuel Oil 180 cst,384.477
1996-04,Marine Fuel Oil 380 cst,819.935
1996-04,Marine Fuel Oil 500 cst +,0
1996-04,Low-Sulfur Marine Gas Oil,0
1996-04,Low-Sulfur Fuel Oil 100 cst,0
1996-04,Low-Sulfur Fuel Oil 180 cst,0
1996-04,Low-Sulfur Fuel Oil 380 cst,0
1996-04,Low-Sulfur Fuel Oil 500 cst,0
1996-04,Ultra Low-Sulfur Fuel Oil,0
1996-04,Others,90.194
1996-05,Marine Gas Oil,109.586
1996-05,Marine Diesel Oil,50.728
1996-05,Marine Fuel Oil 180 cst,389.625
1996-05,Marine Fuel Oil 380 cst,930.729
1996-05,Marine Fuel Oil 500 cst +,0
1996-05,Low-Sulfur Marine Gas Oil,0
1996-05,Low-Sulfur Fuel Oil 100 cst,0
1996-05,Low-Sulfur Fuel Oil 180 cst,0
1996-05,Low-Sulfur Fuel Oil 380 cst,0
1996-05,Low-Sulfur Fuel Oil 500 cst,0
1996-05,Ultra Low-Sulfur Fuel Oil,0
1996-05,Others,122.465
1996-06,Marine Gas Oil,102.747
1996-06,Marine Diesel Oil,46.661
1996-06,Marine Fuel Oil 180 cst,387.522
1996-06,Marine Fuel Oil 380 cst,855.118
1996-06,Marine Fuel Oil 500 cst +,0
1996-06,Low-Sulfur Marine Gas Oil,0
1996-06,Low-Sulfur Fuel Oil 100 cst,0
1996-06,Low-Sulfur Fuel Oil 180 cst,0
1996-06,Low-Sulfur Fuel Oil 380 cst,0
1996-06,Low-Sulfur Fuel Oil 500 cst,0
1996-06,Ultra Low-Sulfur Fuel Oil,0
1996-06,Others,96.352
1996-07,Marine Gas Oil,114.674
1996-07,Marine Diesel Oil,42.094
1996-07,Marine Fuel Oil 180 cst,354.783
1996-07,Marine Fuel Oil 380 cst,780.796
1996-07,Marine Fuel Oil 500 cst +,0
1996-07,Low-Sulfur Marine Gas Oil,0
1996-07,Low-Sulfur Fuel Oil 100 cst,0
1996-07,Low-Sulfur Fuel Oil 180 cst,0
1996-07,Low-Sulfur Fuel Oil 380 cst,0
1996-07,Low-Sulfur Fuel Oil 500 cst,0
1996-07,Ultra Low-Sulfur Fuel Oil,0
1996-07,Others,100.553
1996-08,Marine Gas Oil,103.951
1996-08,Marine Diesel Oil,45.899
1996-08,Marine Fuel Oil 180 cst,323.588
1996-08,Marine Fuel Oil 380 cst,798.156
1996-08,Marine Fuel Oil 500 cst +,0
1996-08,Low-Sulfur Marine Gas Oil,0
1996-08,Low-Sulfur Fuel Oil 100 cst,0
1996-08,Low-Sulfur Fuel Oil 180 cst,0
1996-08,Low-Sulfur Fuel Oil 380 cst,0
1996-08,Low-Sulfur Fuel Oil 500 cst,0
1996-08,Ultra Low-Sulfur Fuel Oil,0
1996-08,Others,84.344
1996-09,Marine Gas Oil,98.733
1996-09,Marine Diesel Oil,42.457
1996-09,Marine Fuel Oil 180 cst,302.247
1996-09,Marine Fuel Oil 380 cst,669.667
1996-09,Marine Fuel Oil 500 cst +,0
1996-09,Low-Sulfur Marine Gas Oil,0
1996-09,Low-Sulfur Fuel Oil 100 cst,0
1996-09,Low-Sulfur Fuel Oil 180 cst,0
1996-09,Low-Sulfur Fuel Oil 380 cst,0
1996-09,Low-Sulfur Fuel Oil 500 cst,0
1996-09,Ultra Low-Sulfur Fuel Oil,0
1996-09,Others,77.597
1996-10,Marine Gas Oil,100.057
1996-10,Marine Diesel Oil,38.329
1996-10,Marine Fuel Oil 180 cst,333.557
1996-10,Marine Fuel Oil 380 cst,787.672
1996-10,Marine Fuel Oil 500 cst +,0
1996-10,Low-Sulfur Marine Gas Oil,0
1996-10,Low-Sulfur Fuel Oil 100 cst,0
1996-10,Low-Sulfur Fuel Oil 180 cst,0
1996-10,Low-Sulfur Fuel Oil 380 cst,0
1996-10,Low-Sulfur Fuel Oil 500 cst,0
1996-10,Ultra Low-Sulfur Fuel Oil,0
1996-10,Others,94.05
1996-11,Marine Gas Oil,94.529
1996-11,Marine Diesel Oil,44.707
1996-11,Marine Fuel Oil 180 cst,315.866
1996-11,Marine Fuel Oil 380 cst,799.604
1996-11,Marine Fuel Oil 500 cst +,0
1996-11,Low-Sulfur Marine Gas Oil,0
1996-11,Low-Sulfur Fuel Oil 100 cst,0
1996-11,Low-Sulfur Fuel Oil 180 cst,0
1996-11,Low-Sulfur Fuel Oil 380 cst,0
1996-11,Low-Sulfur Fuel Oil 500 cst,0
1996-11,Ultra Low-Sulfur Fuel Oil,0
1996-11,Others,75.407
1996-12,Marine Gas Oil,95.283
1996-12,Marine Diesel Oil,46.915
1996-12,Marine Fuel Oil 180 cst,346.329
1996-12,Marine Fuel Oil 380 cst,839.367
1996-12,Marine Fuel Oil 500 cst +,0
1996-12,Low-Sulfur Marine Gas Oil,0
1996-12,Low-Sulfur Fuel Oil 100 cst,0
1996-12,Low-Sulfur Fuel Oil 180 cst,0
1996-12,Low-Sulfur Fuel Oil 380 cst,0
1996-12,Low-Sulfur Fuel Oil 500 cst,0
1996-12,Ultra Low-Sulfur Fuel Oil,0
1996-12,Others,94.94
1997-01,Marine Gas Oil,104.998
1997-01,Marine Diesel Oil,41.64
1997-01,Marine Fuel Oil 180 cst,367.05
1997-01,Marine Fuel Oil 380 cst,895.111
1997-01,Marine Fuel Oil 500 cst +,0
1997-01,Low-Sulfur Marine Gas Oil,0
1997-01,Low-Sulfur Fuel Oil 100 cst,0
1997-01,Low-Sulfur Fuel Oil 180 cst,0
1997-01,Low-Sulfur Fuel Oil 380 cst,0
1997-01,Low-Sulfur Fuel Oil 500 cst,0
1997-01,Ultra Low-Sulfur Fuel Oil,0
1997-01,Others,98.009
1997-02,Marine Gas Oil,91.573
1997-02,Marine Diesel Oil,37.65
1997-02,Marine Fuel Oil 180 cst,341.275
1997-02,Marine Fuel Oil 380 cst,821.745
1997-02,Marine Fuel Oil 500 cst +,0
1997-02,Low-Sulfur Marine Gas Oil,0
1997-02,Low-Sulfur Fuel Oil 100 cst,0
1997-02,Low-Sulfur Fuel Oil 180 cst,0
1997-02,Low-Sulfur Fuel Oil 380 cst,0
1997-02,Low-Sulfur Fuel Oil 500 cst,0
1997-02,Ultra Low-Sulfur Fuel Oil,0
1997-02,Others,84.953
1997-03,Marine Gas Oil,111.804
1997-03,Marine Diesel Oil,39.769
1997-03,Marine Fuel Oil 180 cst,317.495
1997-03,Marine Fuel Oil 380 cst,828.692
1997-03,Marine Fuel Oil 500 cst +,0
1997-03,Low-Sulfur Marine Gas Oil,0
1997-03,Low-Sulfur Fuel Oil 100 cst,0
1997-03,Low-Sulfur Fuel Oil 180 cst,0
1997-03,Low-Sulfur Fuel Oil 380 cst,0
1997-03,Low-Sulfur Fuel Oil 500 cst,0
1997-03,Ultra Low-Sulfur Fuel Oil,0
1997-03,Others,93.671
1997-04,Marine Gas Oil,98.121
1997-04,Marine Diesel Oil,40.25
1997-04,Marine Fuel Oil 180 cst,331.745
1997-04,Marine Fuel Oil 380 cst,930.745
1997-04,Marine Fuel Oil 500 cst +,0
1997-04,Low-Sulfur Marine Gas Oil,0
1997-04,Low-Sulfur Fuel Oil 100 cst,0
1997-04,Low-Sulfur Fuel Oil 180 cst,0
1997-04,Low-Sulfur Fuel Oil 380 cst,0
1997-04,Low-Sulfur Fuel Oil 500 cst,0
1997-04,Ultra Low-Sulfur Fuel Oil,0
1997-04,Others,89.65
1997-05,Marine Gas Oil,103.456
1997-05,Marine Diesel Oil,40.329
1997-05,Marine Fuel Oil 180 cst,309.011
1997-05,Marine Fuel Oil 380 cst,891.121
1997-05,Marine Fuel Oil 500 cst +,0
1997-05,Low-Sulfur Marine Gas Oil,0
1997-05,Low-Sulfur Fuel Oil 100 cst,0
1997-05,Low-Sulfur Fuel Oil 180 cst,0
1997-05,Low-Sulfur Fuel Oil 380 cst,0
1997-05,Low-Sulfur Fuel Oil 500 cst,0
1997-05,Ultra Low-Sulfur Fuel Oil,0
